Question
What is the latest I can come today
I can bring it in on Monday afternoon. How long will the service take because I might have to wait for it?
I'm leaving town this eve. Really need it. I wonder if something happened to it when your employee drove it that 47 miles without myauthorization
Why wouldn't I be able to patch it?
Any idea of when part arrives ?
Maybe something happened when you guys drove 47 miles
Daniel - the link opens but unable to open invoice to review-I will pay when I pick up the car.
Thanks let me know when ready and what final total is.
Thanks let me know when ready and what final total is.
Do items 2 and 3 please. With oil change. No on item 1 and 4. Let me know when ready
Approximately what time do you think my car will be ready?
Ok. What is all that going to cost?  Going broke on this car!
What did they say about the passengers seat. I thought it was getting fixed. Looks like nothing is done
Hi Margaret.  Do you know when the shuttle will pick me up?
I will be there at 1130. My tpms light flashes which indicates a fault. And it hugely annoying. So I need to know exactly which tire is cussing the problem. However I am not going to pay 120 per tire to fix that light . I need oil change as well. Jd. Have a shuttle bring me home please. Thanks
The car should be ready in an hour.  How about 11:00 a.m.?
Hi about how much longer?
How much are rear rotors by themselves
"Thanks Miguel this is Nery I noticed when I pick my car up it had 116 miles on it after I charged it myself and only charge up to 91 miles is there something I can do to get me closer to that 116, or is that indicative of the same problem? Thank you"
"I see it, just tell them to pick it up and call me when they are at the gate"
"I can drop it off in the morning, what am I looking for?"
Hi Deanna! What are those recommended services that were not completed?
Who is this and where r u calling from?
"You read my mind! I've been meaning to make an appointment.  I'd like the earliest appointment possible in Monday, Thursday or Friday next week. What do you have available? Karen"
 Hi Daniel - I wasn't  aware of any other services that my car needed - can U please let know what it is ?
what time are you guys open until today?
Thank you. Approximately how long will the service take?
How long will that take do you think? 
What time can I pick it up tomorrow
"Ok, but it is hard to duplicate because it is completely random, it only happens sometimes when braking. This is the exact noise: https://www.youtube.com/watch?v=ocWvceKApIo"
Yeah. How much will this be
"Oh ... so if in your opinion he did, than what do you think it cost the loosen of the screw ?"
"Hi Deanna, I will do the recommended repair with the next oil change,Pl let me know how much discount you are giving. I am saving this text and show it for next visit, Thanks, Suman Laha."
What cost the wiper arm to be loose ?
And what cost the wiper arm to be loose ?
What was the problem ?
Tomorrow morning works better for me. At what time are the earliest appointments
Thank you Daniel. What ended up being done with the tire pressure sensors?
What service is it due for?
Thanks for the information. I'll get in there when I have some free time. Have a great week!
"It has only happened recently- maybe 3 times in total. What happens is that it will eventually blow out cold air, but not until about 10-15 minutes into thedrive. It could totally just be a side-effect of it being so hot recently."
Ok what time can I pick it up in the am? 
I was wondering how long will it be until my car is finished
1) can we reduce it to a total cost of $210?  And 2) how long would I have to wait?
What is the cost w/o the discount? What is the exact work to be performed on my car's fuel system?
How is 9 am
How about tomorrow morning 
Hello how is Friday around 10
Miguel. What's the status on my car?  Any idea on when it will be done?
What are the details of the discount?
"This is Dan, Rosie's husband. I took the car in on Friday. My Service Advisor was Chrissy Robertson and we did everything that was on the schedule. So what was missed?"
Hi Miguel I emailed you yesterday in case you didn't receive it yes I am ok with the RO as written. When you can please email me the RO. Thanks
What are the recommended repairs and how much would the total be and exactly how much is the discount?
